"image","male_politician_image","convicted","Corruptible","Genuine","Attractive","Dominant","wiki","gov","news","age","glasses","beard","mustache","hair_blond","hair_white","hair_black","hair_brown","pixels","AU06","AU12","clothing_r","clothing_g","clothing_b"
59,"59phil_hamilton.jpg",1,4.56140350877193,3.69565217391304,2.71304347826087,4.18965517241379,0,0,1,72,0,1,1,0,3,0,0,371315,0.8848704,0.91765696,19.88298841,19.61044663,19.93068241
60,"60vic_kohring.jpg",1,3.92982456140351,3.86725663716814,3.39130434782609,4.56034482758621,0,1,0,64,0,0,0,0,2,1,1,533088,0.777654,0.7297221,16.56086826,14.12221554,15.14482094
61,"61bruce_weyhrauch.jpg",1,4.2695652173913,3.79824561403509,3.22608695652174,4.30701754385965,0,1,0,71,0,0,0,0,0,3,0,987600,0.90167004,0.9717656,17.69963789,17.21959193,18.96585902
62,"62john_cowdery.jpg",1,4.85087719298246,3.61739130434783,2.56034482758621,4.43103448275862,0,0,1,83,1,0,0,0,3,0,0,624580,0.9183635,0.9578772,25.21948755,25.1594438,25.77909665
63,"63daniel_van_pelt.jpg",1,3.80869565217391,4.38793103448276,3.32758620689655,3.70689655172414,0,1,0,60,0,0,0,0,1,2,2,964460,0.86312693,0.8919762,14.7196773,13.36760576,15.96794872
64,"64joseph_coniglio.jpg",1,3.91379310344828,3.79310344827586,2.77586206896552,3.58260869565217,0,1,0,81,0,0,0,0,1,3,0,964460,0.7575334,0.89457685,15.3809649,16.02457998,14.39293887
65,"65anthoney_seminerio.jpg",1,4.78260869565217,3.64655172413793,2.48275862068966,4.34782608695652,0,0,1,75,0,0,0,0,3,2,0,1028400,0.8601009,0.91516757,16.53133524,15.81742514,16.59424693
66,"66james_boyce_black.jpg",1,3.65217391304348,3.93913043478261,2.81739130434783,3.46086956521739,0,1,0,89,1,0,0,0,1,3,0,434460,0.8934876,0.9356556,22.93398023,22.14716959,22.77401122
67,"67william_deweese.jpg",1,4.25217391304348,3.9304347826087,3.26086956521739,4.5304347826087,0,1,0,74,0,0,0,0,3,0,1,950896,0.8890299,0.9507054,10.83603787,10.51150131,10.76859928
68,"68jeffrey_habay.jpg",1,3.42105263157895,3.95652173913043,3.05172413793103,2.92105263157895,0,1,0,58,0,0,0,0,0,2,2,54756,0.86576086,0.9591081,9.221952652,8.582768274,9.260661828
69,"69joseph_loeper.jpg",1,4.83636363636364,3.36206896551724,2.26086956521739,4.04310344827586,0,1,0,79,1,0,0,0,2,3,0,606018,0.89108574,0.8608561,22.69386405,22.31867859,21.76031135
70,"70ward_crutchfield.jpg",1,3.84347826086957,4.20869565217391,3.14655172413793,4.3448275862069,0,1,0,87,1,0,0,1,2,2,0,1023435,0.90803224,0.95591074,16.77378339,17.56905617,19.6200384
71,"71joel_boniek.jpg",1,4.27586206896552,3.56034482758621,3.1551724137931,4.43965517241379,0,0,1,63,0,0,1,0,1,2,1,523016,0.7258966,0.8266887,20.85262794,21.10519254,20.48773977
72,"72vincent_leibell.jpg",1,4.43103448275862,3.87826086956522,2.91379310344828,4.17391304347826,0,1,0,78,0,0,0,0,1,3,0,578700,0.7768643,0.8645967,14.18228427,14.37846012,16.18140295
